subj:01000000                                arts, culture and entertainment                                     Arts, culture, et spectacles       
                              subj:02002003  court administration                                                Greffe                             
               subj:02003000                 police                                                              Police                             
                              subj:02003001  law enforcement                                                     Forces de l'ordre                  
                              subj:02003002  investigation                                                       Enquête                            
                              subj:02003003  arrest                                                              Arrestation                        
               subj:02004000                 punishment                                                          Peines                             
                              subj:02004001  fine                                                                Amende                             
                              subj:02004002  execution                                                           Execution                          
               subj:02005000                 prison                                                              Prison                             
               subj:02006000                 laws                                                                Lois                               
                              subj:02006001  criminal                                                            Droit Pénal                        
                              subj:02006002  civil                                                               Droit civil                        
               subj:02007000                 justice and rights                                                  Droits                             
                              subj:02007001  civil rights                                                        Droits civils                      
               subj:02008000                 trials                                                              Procès                             
                              subj:02008001  litigation                                                          Litige                             
                              subj:02008002  arbitration                                                         Arbitrage                          
                              subj:02008003  court preliminary                                                   Audiences préliminaires            
               subj:02009000                 prosecution                                                         Accusation                         
                              subj:02009001  defendant                                                           Accusé                             
                              subj:02009002  witness                                                             Témoin                             
               subj:02010000                 organized crime                                                     Crime organisé                     
               subj:02011000                 international law                                                   Droit International                
                              subj:02011001  international court or tribunal                                     Cour ou tribunal international     
                              subj:02011002  extradition                                                         Extradition                        
               subj:02012000                 corporate crime                                                     Délinquance financière             
                              subj:02012001  fraud                                                               Fraude                             
                              subj:02012002  embezzlement                                                        Détournements                      
                              subj:02012003  restraint of trade                                                  Infraction commerciale             
                              subj:02012004  breach of contract                                                  Violation de contrat               
                              subj:02012005  anti-trust crime                                                    Infraction anti-trust              
                              subj:02012006  corruption                                                          Corruption                         
                              subj:02012007  bribery                                                             Subornation de témoins             
               subj:02013000                 war crime                                                           Crime de guerre                    
               subj:02014000                 inquest                                                             Enquête                            
               subj:02015000                 inquiry                                                             Enquête                            
               subj:02016000                 tribunal                                                            Tribunal                           
subj:03000000                                disaster and accident                                               Désastres et accidents             
               subj:03001000                 drought                                                             Sécheresse                         
               subj:03002000                 earthquake                                                          Tremblement de terre               
               subj:03003000                 famine                                                              Famine                             
               subj:03004000                 fire                                                                Incendie                           
               subj:03005000                 flood                                                               Inondation                         
               subj:03006000                 industrial accident                                                 Accident industriel                
                              subj:03006001  structural failures                                                 Effondrement                       
               subj:03007000                 meteorological disaster                                             Désastre météorologique            
                              subj:03007001  windstorms                                                          Tempête                            
               subj:03008000                 nuclear accident                                                    Accident nucléaire                 
               subj:03009000                 pollution                                                           Pollution                          
               subj:03010000                 transport accident                                                  Accident de transport              
                              subj:03010001  road accident                                                       Accident de la route               
                              subj:03010002  railway accident                                                    Accident de chemin de fer          
                              subj:03010003  air and space accident                                              Accident dans l'air et l'espace    
                              subj:03010004  maritime accident                                                   Accidents maritimes                
               subj:03011000                 volcanic eruption                                                   éruption volcanique                
               subj:03012000                 relief and aid organisation                                         ONG                                
               subj:03013000                 accident (general)                                                  Accident                           
               subj:03014000                 emergency incident                                                  Situation d'urgence                
                              subj:03014001  explosion                                                           Explosion                          
               subj:03015000                 disaster (general)                                                  Désastre                           
                              subj:03015001  natural disasters                                                   Catastrophe naturelle              
                              subj:03015002  avalanche/landslide                                                 Avalanche/Glissement de terrain    
               subj:03016000                 emergency planning                                                  Prévention et organisation des seco
               subj:03017000                 rescue                                                              Sauvetage                          
subj:04000000                                economy, business and finance                                       Economie et finances               
               subj:04001000                 agriculture                                                         Agriculture                        
                              subj:04001001  arable farming                                                      Cultures                           
                              subj:04001002  fishing industry                                                    Pêche                              
                              subj:04001003  forestry and timber                                                 Exploitation forestière            
                              subj:04001004  livestock farming                                                   élevage                            
                              subj:04001005  viniculture                                                         Viticulture                        
                              subj:04001006  aquaculture                                                         Aquaculture                        
               subj:04002000                 chemicals                                                           Chimie                             
                              subj:04002001  biotechnology                                                       Biotechnologie                     
                              subj:04002002  fertiliser                                                          Engrais                            
                              subj:04002003  health and beauty product                                           Hygiène et Cosmétiques             
                              subj:04002004  inorganic chemical                                                  Chimie inorganique                 
                              subj:04002005  organic chemical                                                    Chimie organique                   
                              subj:04002006  pharmaceutical                                                      Pharmacie                          
                              subj:04002007  synthetic and plastic                                               Plastiques et synthétiques         
               subj:04003000                 computing and information technology                                Informatique et technologie de l'in
                              subj:04003001  hardware                                                            Matériel informatique              
                              subj:04003002  networking                                                          Réseaux et télécommunications      
                              subj:04003003  satellite technology                                                Satellites                         
                              subj:04003004  semiconductors and active components                                Semiconducteurs                    
                              subj:04003005  software                                                            Logiciels                          
                              subj:04003006  telecommunication equipment                                         équipement de télécommunication    
                              subj:04003007  telecommunication service                                           Services télécoms                  
                              subj:04003008  security                                                            Sécurité                           
                              subj:04003009  wireless technology                                                 Technologie sans-fil               
               subj:04004000                 construction and property                                           équipement et immobilier           
                              subj:04004001  heavy construction                                                  Travaux Publics                    
                              subj:04004002  house building                                                      Bâtiment                           
                              subj:04004003  real estate                                                         Immobilier                         
                              subj:04004004  farms                                                               Exploitations agricoles            
                              subj:04004005  land price                                                          Foncier                            
                              subj:04004006  renovation                                                          Rénovation                         
                              subj:04004007  design and engineering                                              Design et ingénierie               
               subj:04005000                 energy and resource                                                 énergie et ressources              
                              subj:04005001  alternative energy                                                  énergies alternatives              
                              subj:04005002  coal                                                                Charbon                            
                              subj:04005003  oil and gas - downstream activities                                 Pétrole et gaz                     
                              subj:04005004  oil and gas - upstream activities                                   Pétrole et gaz                     
                              subj:04005005  nuclear power                                                       énergie nucléaire                  
                              subj:04005006  electricity production and distribution                             électricité                        
                              subj:04005007  waste management and pollution control                              Traitement des déchets             
                              subj:04005008  water supply                                                        Alimentation en eau                
                              subj:04005009  natural resources (general)                                         Ressources naturelles              
                              subj:04005010  energy (general)                                                    énergie                            
                              subj:04005011  natural gas                                                         Gaz naturel                        
                              subj:04005012  petrol                                                              Essence                            
                              subj:04005013  diesel fuel                                                         Carburant diesel                   
                              subj:04005014  kerosene/paraffin                                                   Kérosène                           
               subj:04006000                 financial and business service                                      Services financiers                
                              subj:04006001  accountancy and auditing                                            Comptabilité et Audit              
                              subj:04006002  banking                                                             Banque                             
                              subj:04006003  consultancy service                                                 Consultants                        
                              subj:04006004  employment agency                                                   Agence pour l'emploi               
                              subj:04006005  healthcare provider                                                 Services de santé                  
                              subj:04006006  insurance                                                           Assurances                         
                              subj:04006007  legal service                                                       Service juridique                  
                              subj:04006008  market research                                                     études de marché                   
                              subj:04006009  stock broking                                                       Courtage d'actions                 
                              subj:04006010  personal investing                                                  Placements personnels              
                              subj:04006011  market trend                                                        Tendance du marché                 
                              subj:04006012  shipping service                                                    Sociétés de tansport               
                              subj:04006013  personal service                                                    Soins de beauté                    
                              subj:04006014  janitorial service                                                  Sociétés d'entretien               
                              subj:04006015  funeral parlour and crematorium                                     Pompes funèbres                    
                              subj:04006016  rental service                                                      Sociétés de location               
                              subj:04006017  wedding service                                                     Services matrimoniaux              
                              subj:04006018  personal finance                                                    épargne personnelle                
                              subj:04006019  personal income                                                     Revenus personnels                 
                              subj:04006020  auction service                                                     Ventes anx enchères                
                              subj:04006021  printing/promotional service                                        Reprographie                       
                              subj:04006022  investment service                                                  Conseillers financiers             
               subj:04007000                 consumer goods                                                      Distribution                       
                              subj:04007001  clothing                                                            Habillement                        
                              subj:04007002  department store                                                    Grands magasins                    
                              subj:04007003  food                                                                Alimentation                       
                              subj:04007004  mail order                                                          Vente par correspondance           
                              subj:04007005  retail                                                              Commerce de détail                 
                              subj:04007006  speciality store                                                    Commerce spécialisé                
                              subj:04007007  wholesale                                                           Grossistes                         
                              subj:04007008  beverage                                                            Distribution de boissons           
                              subj:04007009  electronic commerce                                                 Commerce électronique              
                              subj:04007010  luxury good                                                         Commerce de luxe                   
                              subj:04007011  non-durable good                                                    Biens de consommation              
                              subj:04007012  toy                                                                 Jouets                             
               subj:04008000                 macro economics                                                     Macro économie                     
                              subj:04008001  central bank                                                        Banques centrales                  
                              subj:04008002  consumer issue                                                      Consommation                       
                              subj:04008003  debt market                                                         Marché obligataire                 
                              subj:04008004  economic indicator                                                  Indicateurs économiques            
                              subj:04008005  emerging market                                                     Pays émergents                     
                              subj:04008006  foreign exchange market                                             Marché des changes                 
                              subj:04008007  government aid                                                      Aide publique                      
                              subj:04008008  government debt                                                     Dette publique                     
                              subj:04008009  interest rate                                                       Taux d'intérêts                    
                              subj:04008010  international economic institution                                  Institutions économiques internatio
                              subj:04008011  international (foreign) trade                                       Commerce International             
                              subj:04008012  loan market                                                         Financement                        
                              subj:04008013  economic organization                                               Organisations économiques          
                              subj:04008014  consumer confidence                                                 Confiance des consommateurs        
                              subj:04008015  trade dispute                                                       Conflit commercial                 
                              subj:04008016  inflation and deflation                                             Inflation et déflation             
                              subj:04008017  prices                                                              Prix                               
                              subj:04008018  currency values                                                     Changes                            
                              subj:04008019  budgets and budgeting                                               Budget                             
                              subj:04008020  credit and debt                                                     Crédit                             
                              subj:04008021  loans                                                               Prêts                              
                              subj:04008022  mortgages                                                           Emprunts immobiliers               
                              subj:04008023  financial markets                                                   Marchés financiers                 
                              subj:04008024  commodity markets                                                   Marchés des matières premières     
                              subj:04008025  investments                                                         Investissements                    
                              subj:04008026  stocks                                                              Parts de société                   
                              subj:04008027  bonds                                                               Obligations                        
                              subj:04008028  mutual funds                                                        Fonds d'investissement             
                              subj:04008029  derivative securities                                               Produits dérivés                   
                              subj:04008030  imports                                                             Importations                       
                              subj:04008031  exports                                                             Exportations                       
                              subj:04008032  trade agreements                                                    Accords commerciaux                
                              subj:04008033  trade policy                                                        Politique commerciale              
                              subj:04008034  business enterprises                                                Entrepises                         
                              subj:04008035  tariff                                                              Droits de douane                   
                              subj:04008036  trade balance                                                       Balance commerciale                
               subj:04009000                 market and exchange                                                 Marchés                            
                              subj:04009001  energy                                                              Marché énergie                     
                              subj:04009002  metal                                                               Métaux                             
                              subj:04009003  securities                                                          Bourse                             
                              subj:04009004  soft commodity                                                      Denrées                            
               subj:04010000                 media                                                               Médias                             
                              subj:04010001  advertising                                                         Publicité                          
                              subj:04010002  book                                                                édition                            
                              subj:04010003  cinema industry                                                     Cinéma                             
                              subj:04010004  news agency                                                         Agences de presse                  
                              subj:04010005  newspaper and magazine                                              Journaux et périodiques            
                              subj:04010006  online                                                              Services en ligne                  
                              subj:04010007  public relation                                                     Relations publiques                
                              subj:04010008  radio industry                                                      Industrie de la Radio              
                              subj:04010009  satellite and cable service                                         Câble et satellite                 
                              subj:04010010  television industry                                                 Industrie de la télévision         
                              subj:04010011  music industry                                                      Industrie musicale                 
               subj:04011000                 manufacturing and engineering                                       Industries métallurgiques et mécani
                              subj:04011001  aerospace                                                           Industrie aéronautique et de l' esp
                              subj:04011002  automotive equipment                                                Industrie automobile               
                              subj:04011003  defence equipment                                                   Industrie de défense               
                              subj:04011004  electrical appliance                                                équipement électrique              
                              subj:04011005  heavy engineering                                                   Mécanique lourde                   
                              subj:04011006  industrial component                                                Composants industriels             
                              subj:04011007  instrument engineering                                              contrôle et mesure                 
                              subj:04011008  shipbuilding                                                        Construction navale                
                              subj:04011009  machine manufacturing                                               Machine outil                      
               subj:04012000                 metal and mineral                                                   Métaux et minéraux                 
                              subj:04012001  building material                                                   Matériaux de construction          
                              subj:04012002  gold and precious material                                          Or et métaux précieux              
                              subj:04012003  iron and steel                                                      Sidérurgie                         
                              subj:04012004  non ferrous metal                                                   Métaux non ferreux                 
                              subj:04012005  mining                                                              Mines                              
               subj:04013000                 process industry                                                    Industries de transformation       
                              subj:04013001  distiller and brewer                                                Boissons alcoolisées               
                              subj:04013002  food                                                                Alimentation                       
                              subj:04013003  furnishings and furniture                                           Meubles et décoration              
                              subj:04013004  paper and packaging product                                         Papier et emballage                
                              subj:04013005  rubber product                                                      Caoutchouc                         
                              subj:04013006  soft drinks                                                         Boissons non alcoolisées           
                              subj:04013007  textile and clothing                                                Textile                            
                              subj:04013008  tobacco                                                             Tabac                              
               subj:04014000                 tourism and leisure                                                 Tourisme et loisirs                
                              subj:04014001  casino and gambling                                                 Casinos                            
                              subj:04014002  hotel and accommodation                                             Hotellerie                         
                              subj:04014003  recreational and sporting goods                                     Articles de sport et plein air     
                              subj:04014004  restaurant and catering                                             Restauration                       
                              subj:04014005  tour operator                                                       Voyagistes                         
               subj:04015000                 transport                                                           Industrie de transport             
                              subj:04015001  air transport                                                       Transport aérien                   
                              subj:04015002  railway                                                             Transport ferroviaire              
